,review,cluster
"('10',)","Review Text 1651: Great great greattt app. Brings a very pleasant voice into my life. It's cheeky, the animations are great, a very down to earth way of meditation.  I would have only loved to be able to have my sub on my Google Drive. I can only do 3 different free 2 minute meditations. But it would be so amazing to say in the morning 'hey Google, talk to headspace' and it asks me if I want to continue my current program.",10
"('1',)",Review Text 1075: I really love the feeling of calmness and really helps me to focus on important matters,1
"('8',)",Review Text 3125: This is my favorite app and I use it throughout the day. The perfect meditation comes up just when I need it.,8
"('0',)",Review Text 131: I really enjoy this app i love all the sound options and every sound is so relaxing. I like that you can adjust the sound frequency too. I always fall right to sleep. Sometimes i listen when im wide awake doing things around the house. One of the best apps ive ever downloaded,0
"('2',)","Review Text 2: I really like this app a lot. It has a lot of good content and the guide's  voice is smooth and relaxing. Friendly without being insincere or  condescending. I definitely recommend everyone give it a try. I've used it  daily for a week now and plan to continue. The energizers are great, just a  short mini exercise to get your mind back in the right place when you just  need a breather and can't sit for a longer meditation. 10/10 it is helpful  and well designed.",2
"('2',)","Review Text 1021: this app has been really helpful, but it doesn't save my progress and keeps telling me I haven't meditated all week when I know I've done several days in a row. so that's not very motivating. another helpful feature would be a reminder notification to meditate. but, I'd still recommend it over headspace which is over-priced and narrated by a really annoying voice.",2
"('0',)","Review Text 15: Too much ads ruining the experience. Too much ads for an app that is just downloading and playing songs, looks ugly and is not finished (repeat button does nothing, song stop without ending...). Too sad to see the devs just want money from this without even trying to do something good.",0
"('4',)",Review Text 1203: This app has connected me to an accepting community of people who don't think that I'm desperate for attention and they don't ask me to put my feelings aside for their benefit. This app connected me to people who can help and they want to help. I'm so happy that I found this.,4
"('5',)",Review Text 784: But I would love to have an option to come back to previous seasons that I already passed. Is it possible?,5
"('10',)",Review Text 35: This appcis great for keeping track of your feelings...but it keeps freezing after I write a journal. It's a 50/50 chance. Annoying. Edit:can there be something offline too? Offline saving? It would be useful.,10
"('7',)","Review Text 997: I just hoped that the quiet games was free,  because this app helped me cope up with depression,  and I have been struggling against it for a long period of time,  thank God I came across this app.",7
"('0',)",Review Text 1537: This is a wonderful app. You can vent without rejection. There is such a wonderful group of people who encourage one another. Any one can encourage anyone else. You can both give and receive help. Great place.,0
"('0',)","Review Text 635: I think everyone with a smartphone should be using this app.  I battle with anxiety, depression, and substance abuse.  This app is like having all of the best mental health resources right in my pocket.  It's very intuitive and has a great guided path to show you through the different functions. Everything it teaches is in line with what I have learned from mental health professionals in all different settings.  It makes things like CBT and thought records and goal setting so easy to do and so much more practical than putting pen to paper.  My favorite function is being able to set daily habits and track how well I kept up with them as well as how that affected my mood.  I wish I could put more than 5 stars.",0
"('4',)",Review Text 1615: This app is amazing but I think it would help if there was some stuff to understand some other emotions as well,4
"('1',)",Review Text 310: I downloaded this app and i feel much better. This app is a healing app to me. Thank you for creating this app,1
"('0',)",Review Text 2638: You can just talk about anything you want whether it's something that is bothering you or you just want to talk to someone. The listeners are more than happy to talk to you and assist you with whatever is on your mind. You can even use the search filter to narrow the list of listeners that specialize in specific areas. This app has helped me a lot with improving my social anxiety and improving myself in all.,0
"('7',)",Review Text 3536: The prayer are tailor with my circumstances.  It's amazing and it has really change my prayer life.  I love it.,7
"('10',)",Review Text 127: I've been using this app for about a week now and its been very helpful to get my thoughts in order. I struggle with anxiety and it's a great tool to understand how to go back to the present moment.,10
"('5',)","Review Text 805: Love it, by far my favorite...I just wish there were more sound choices, then it'd be PERFECT :)",5
"('0',)","Review Text 119: great app. Easy to use, would be 5 stars but I would like the graph results to have a percentage or have numbers to determine the difference of the results",0
"('7',)","Review Text 4577: I'm finding the peace I've been lacking in my prayer life!!Praise God for this app!!My only complaint,the arrows there to share but it makes the app stop.I know several people I'd love to share with.Sad Sad",7
"('2',)",Review Text 6244: A great way into daily meditation. The animations are both entertaining and thought-provoking.  The introductory Take 10 exercises make it easy to keep to a daily meditation practice.,2
"('0',)",Review Text 2293: Who came here to download this app from pewdiepie video ?,0
"('3',)",Review Text 918: I didn't expected this could be this good. Wysa help me a lot to come out of depression. I felt like total different person now.,3
"('6',)",Review Text 5126: Very easy to use. It actually saved my life.  I wasn't feeling well and was having minor chest pains. I used this app a noticed that my heart rate was much too low!  I went to the ER and was told my symptom was Bradycardia!!  Thank you for this app!!,6
"('1',)",Review Text 1739: I like venting on here. It really helps to know someone listens and cares about what you say and feel.,1
"('8',)","Review Text 2083: Needs technical improvement, but the idea and the community are great.",8
"('0',)","Review Text 3725: I like this app so far but my only issue is that you can't move the app to storage card and I have hardly any internal memory , please fix",0
"('5',)",Review Text 238: absolutely life changing and so much free classes and meditations. thank you for helping us build a new world full of love.,5
"('8',)","Review Text 3: This game is useful for everyone who got stressed out.... And of course  it's boring for everyone who wants some productivity... The free edition is  more than enough to flow my stressed headache, by the way... Just need more  improvements to be more realistic... Nice...",8
"('8',)","Review Text 836: Great app. My only problem is the chat. It's wonky, laggy. Get notifications but the message doesn't show. Really needs to be fixed.",8
"('0',)",Review Text 1098: This app has been an amazing (for the most part free and non for profit) alternative to the ridiculously over priced competing meditation apps out there like headspace and calm. Very happy it has become available on Android. Thank you for making these essential exercises accessible to everyone :),0
"('0',)","Review Text 3715: When you are sick of your anxiety symptoms and they are taking over your life and you are determined to work to correct the issues, this app is phenomenal and will give you the tools.  It really works for me!  I love it.  Thank you headspace!",0
"('1',)","Review Text 4392: Started feeling palpitations, so I installed this app. Makes me feel more confident about my health to know that all is well.",1
"('0',)",Review Text 2: Its realy a very nice useful app. i used this my device and i can tell you you have to use  this if you want to know about Anxiety symptomas and trearments.,0
"('10',)","Review Text 2727: Great community, all around support the app. There is room for improvement though. The messaging notifactions don't always work.",10
"('0',)","Review Text 1336: What I can tell that the creator of 7cups had a amazing idea! I was very very much impressed and benefited  with this app in my worst days. it played a very important role in my life! most of all, I got a great listener who just supported me like an elder sis! thanks a lot 7 cups and also thanks to that unknown  person who took my emotions and my problems  just as her problems  and tried her best to help me. you will always have a special place in my hearts 7cups! And I must say, all the listeners are amazing here! best of luck, 7 cups! go in the highest point of success!",0
"('7',)","Review Text 4600: Wonderful guide in my prayer life, so glad I stumbled upon it through my You version bible app",7
"('9',)",Review Text 518: It is peaceful and relaxing but dealing w/rating it is not.,9
"('5',)",Review Text 1268: Love the reminders and the extra bits.. even on the free one.,5
"('0',)",Review Text 317: Keep it up and stay update on knowledge. As mental health patient knowledge  is meaningfull for us.,0
"('5',)",Review Text 184: Fantastic. I love the customizable takes - you can track bipolar symptoms or anything else with this feature.,5
"('0',)","Review Text 1143: I'm still fairly new to this app, but it all looks pretty useful to me so far. 🤞🏽",0
"('7',)",Review Text 39: Great way to focus on God in the middle of everything. Awesome meditations  and journal prompts.,7
"('8',)",Review Text 2583: I'm a listener and this app helps me to connect with the people who needs me ..,8
"('0',)","Review Text 420: The skills this app brings together in one place is great. The only things I would suggest would be to reword the questions in Test to ""allow"" more frequent check-in and to put into the Safety Plan a place to remind ourself of our positive personality traits beyond who/what is worth living for.",0
"('1',)",Review Text 1035: Great way to start the day I really enjoy the feeling of belonging that it gives you with other Christians in a community sense because you're hearing a voice rather than just reading. And it feels personal.  Today's meditation was about something that I was anxious about and really nailed it.,1
"('5',)",Review Text 726: I love Headspace. It is the only app I have upgraded to a paid version as I  use it daily and have benefited greatly from the range of meditations both  in terms of times and topics. The graphics are lovely and explanation  animations fun to watch. Well done Headspace. It's a big 👍 from me,5
"('5',)","Review Text 1781: I love this app. I cannot yet afford the full version, but the free features are fantastic, well organized, and relevant!!!",5
"('2',)",Review Text 284: Short guided meditation during lunch breaks at work really help to de-stress,2
"('8',)","Review Text 2182: This app fixes everything wrong with the mindsets in the people who gave one star reviews, for this very thing they needed to look past their own shallow dismissal! Andy is great. why not; not buy mc donalds for a day, and pay for a month subscription? Ones more valuable then the other. Up to you, your path is your own.",8
"('2',)",Review Text 743: Excellent beginner's tool for learning how to meditate. I had never  attempted meditation and I feel very empowered using these various guided  sessions.,2
"('0',)",Review Text 1068: I am really enjoying this app. Male voice is just right!!!,0
"('2',)",Review Text 998: Had a few problems switching over from beta and the aware support team was right on it. The customer support is great and so are their meditations. They have meditations for everything at a decent price too. Meditations for every mood is really helpful. Thanks again aware! I see big things for this app.,2
"('3',)","Review Text 4410: It is a very good app even though I have never tried meditation because I thought that was a load of nonsense... but surprisingly it works!! , But only if it had a tracking weight feature it would have been better but nevertheless I still rate it five stars ! ✨",3
"('2',)",Review Text 2860: I use this everyday to help me establish the spiritual discipline of meditation in my relationship with Jesus. It's been the best financial investment I've made in a long time.,2
"('8',)","Review Text 14: Nice app!! But only for primary care..i am still skeptical about usefulness of these app for cases like diabetes, thyroid problem etc. Which need long term follow up.",8
"('4',)",Review Text 344: This app has helped me a lot with my anxiety and stress. Make time for it and it is well worth it.,4
"('2',)","Review Text 3285: I joined a high stress job about three months ago, after following the morning meditations I noticed how much calmer I can make decisions now",2
"('0',)","Review Text 578: The app is very simple in terms of functionality from a user experience perspective. There's not much to be expected from the user experience of the app, however the service is extremely useful. You don't have to worry about driving to an office to sit in a chair or a couch every week or every other week. When I have time I can talk to my therapist and I always get a response back in a quick amount of time. My only recommendation is to allow uploading of an avatar, just one so you the therapist knows you.",0
"('0',)",Review Text 6638: Well designed and enjoyable interface. Worth every penny. Without the app I don't remember to do this on my own,0
"('5',)","Review Text 381: When I first saw ads for this I just brushed them off. But I kept getting  more and interested, and now I love Headspace!",5
"('9',)",Review Text 3428: I like the relaxation audios and availability of listeners at anytime,9
"('0',)",Review Text 3504: How do you log in into your online account instead of being a guest?,0
"('0',)","Review Text 2: Amazing app! Not only has it significantly reduced my anxiety, it has  helped me to start healing the sources of this anxiety. Well worth the  money.",0
"('5',)",Review Text 2064: I love this app! The guided meditations are very effective and I love the voice!,5
"('0',)",Review Text 4371: So glad I found it through You Version Bible or else I wouldn't have known it exists! If that ain't Jesus! So excited about incorporating this into my daily times with the Lord! 💙 💙 💙 💙 💙 💙,0
"('5',)",Review Text 44: This app helps me to calm myself down. I can choose a set of strategies  that suitable for me. Love it,5
"('2',)","Review Text 428: This meditation  is helping me be more aware., Of everything  GOING  on in my boty",2
"('4',)","Review Text 1235: Thoughtful, well made and helpful, at least for my situation. Thank you.",4
"('4',)",Review Text 4189: It is nice to talk with a person who wants to help you when you don't know how to talk to a close friend.,4
"('4',)",Review Text 1005: It's helpful to me really and teachers are very helpful to make meditation better and better...Thank you guys it's really work in touch .,4
"('6',)",Review Text 5408: Whn you're on the go this is useful i have a friend with heart problems i recommended him this and he is using it ever since,6
"('0',)","Review Text 1376: Should have the option to use a lock code. Plus, paying is o.k, but I would like to pay once and have use of all the options and not monthly. Thanks.",0
"('4',)",Review Text 2630: I saw this website as something that came up on Google and really think it should be advertised more. perfect for people who have the app Vent,4
"('5',)",Review Text 399: Love the variations and how you can add sounds! We sleep soooooo good now! Love this app!!!!!,5
"('0',)",Review Text 626: Very inspiring to me personally. My Godmother introduced this to me when she started sending me and these in a group text.,0
"('8',)","Review Text 7: For people, like myself who struggle with anxiety and other mental illness, this app helps so much. Anxiety doesn't wait into you're home to happen. Its so nice knowing there's something there to help you when you need it the most; no matter where you are.",8
"('0',)",Review Text 3240: This app is super simple and the lady's voice is soothing.,0
"('0',)",Review Text 1570: 7 cups has brought me up from the dark and shown me the light on countless occasions.,0
"('3',)",Review Text 2249: So far so good with the app. It even gave me the option to get in touch with a professional in my area which I was able to do. I look forward to using this app often and regularly. The community seems like a very good one as well with people that have similar issues as me.,3
"('3',)","Review Text 3861: Good way to keep track of health and fitness, quite accurate too.",3
"('1',)",Review Text 3900: I truly love this app. It truly makes me feel better. I can express the things that I want to. Without being afraid . This is truly a lifesaver!,1
"('3',)",Review Text 955: The best concept ever. I've had really good experiences with all the listeners. They were nice patient and kind and helping :),3
"('0',)","Review Text 1007: The app works beautifully. It has a gorgeous design, and very intuitive layout. The team behind the app is extremely helpful. Then there's the content...It's awesome. This app is highly recommended!",0
"('10',)",Review Text 792: I love the fact I can use Pacifica to help with my anxiety.  This is a really great app.,10
"('1',)",Review Text 1: Brilliant!! Mot sure why but can feel myself remembering more through day  and feel calmer each and time i meditate. I also seem to be more skillfull  at things too. Even my my reaction time has increased! These are just a few  things ive noticed and ive only been meditating for 2 weeks. Looking  forward to keeping it up as i habit for life!!,1
"('5',)",Review Text 858: Simple easy to use and quite effective. Love all the affirmation the text provides,5
"('0',)","Review Text 705: This app uses presets, then you adjust the volume/presence of each different sound that plays in that preset. This is very nice. The sound builds instead of jumping out at you Sounds familiar which tells me it's authentic, good quality sound. A great app will have you closing your eyes and picturing what you're hearing. This does it.",0
"('5',)","Review Text 725: I love what this app is aiming for... Though lately, I've been having  problems with starting the app (as it keeps closing) I'm not sure if anyone  else has this problem, but the bug should be a side note for the developers.",5
"('6',)","Review Text 5515: I never rate apps but just to confirm as it might be useful to someone with need, this app is reliable and accurate, you can trust this",6
"('7',)",Review Text 636: Abide gives me the ability to come closer to God. To reflect and go deeper in the scriptures.,7
"('0',)",Review Text 556: I enjoy every message except it is quite difficult to use since I am new to it,0
"('8',)","Review Text 388: Great cbt thought record app. No more scribbling on napkins. But,needs capabilility 4 listing/rating more than one emotion. Otherwise Very Useful.",8
"('0',)","Review Text 9: Thank you for to the developers for creating this great breathing tool. I love everything about it and its very minimalistic as well.   My only suggestion would be to allow the user to create several breathing patterns that can be named as desired. That way, I could use a different pattern as required.  ",0
"('9',)",Review Text 583: Just amazing! I never thought I would be able to meditate for so long but  the coach makes it easy. I feel so relaxed and clear minded.,9
"('8',)","Review Text 421: I love this app.. I just wish it was available offline. I was on the plane and feeling anxious, I whipped out my phone to use the app but unfortunately, it needs internet connection to work..",8
"('7',)",Review Text 2149: Being in the presence of God through a close relationship with Jesus is life changing. This app helps you do that.,7
"('0',)","Review Text 1586: I enjoy this app immensely. Powerful and uplifting. Morning, noon, and night it has topics that apply to what I'm dealing with. I'm so glad I subscribed.",0
"('2',)","Review Text 613: This app is great. Since installing it, I have spent every morning in this  guide of meditation. Love this app.",2
"('1',)","Review Text 2920: A definite blessing, this helps me to remain calm and I love the journal to reflect on feelings as I pray",1
"('2',)",Review Text 3217: Great way to introduce meditation and mindfulness! Soothing music and voices. I only wish you didn't have to pay for the full version.,2
"('5',)",Review Text 46: I have been a member for a while now and I love we got a mobile app. Wish we could take chats on it though. But awesome non the less.,5
"('10',)",Review Text 2843: It helps me vent and alot of people are so supportive. I've made alot of great friends.,10
"('2',)","Review Text 1210: Aware was my first jump into meditation. I had been talking about starting for a long time but always put it off. Then I started looking for guided meditations and apps. But the price tags that came along with apps such as Calm or Headspace did everything but make me calm.  Calm has a 7 day free beginner course and Headspace I THINK has 10 free sessions. Aware here has a 21 day free foundation course, which takes this app MILES beyond the others just with that. But when I saw that I could get a lifetime of Aware for 4.99, I could not pass it up!",2
"('3',)","Review Text 1312: Player is now working, thank you very much for replying! I am really enjoying the app and I like that there are differing times for the meditation. Keep up the good work!",3
"('0',)",Review Text 5445: I'm trying to learn some mindfulness skills in dealing with ongoing pain. I have found this app really well designed for learning the basics. Just need to find the time to do it without interruption from my 4 month baby!,0
"('8',)",Review Text 5919: I will only have 10 day programme repeated.No need to pay.its great app (free) helps cooling your mind.,8
"('9',)","Review Text 157: I LIKE THE RAIN, THUNDER AND BIRD SOUND ALSO THE WATER. Very relaxing",9
"('2',)","Review Text 2594: Headspace is a wonderful app that has helped me to start meditating more often. The guided meditations are amazing! The man who guides you has such a relaxing voice! So, props to him! :D I loved my experience, but I unfortunately can't afford a subscription. Hopefully once I can, I will come back to this app. Thank you for making this and keep up the great work!",2
"('0',)","Review Text 595: I love being able to reach my therapist after 5. That's when I get home from work and actually have time for therapy. They usually respond in the evening too. Sometimes they don't, but hey it's not perfect. The app itself works well for the essential (text) therapy, but it needed polish with the audio and video stuff. Still, it was more than good enough for what I needed.else out there.",0
"('0',)","Review Text 942: I haven't tried layering the audio recordings with music yet!  Once I do, I'll rate again!",0
"('0',)",Review Text 539: Using our own voice makes this work! A simple and easy to use tool that has an incredible impact!,0
"('4',)",Review Text 1094: It really helps me stay calm sent I have been useing it I haven't through anything at my wall out of anger or stomp on my floor or yell or slam my door I have just came right to my phone...,4
"('2',)",Review Text 1828: Really love the app as it guides me through my spiritual journey meditating daily. I usually can't stay committed to meditating and praying daily on my own. I now look forward to my daily sessions with abide and feel a much deeper connection and time well spent,2
"('5',)",Review Text 28: I love how much content it has and that it's completely free! A lot of  other apps with similar purpose are very expensive and don't even help as  much in my opinion.,5
"('0',)",Review Text 349: I would like to see the ability for users to rate the audio programs.,0
"('0',)","Review Text 159: Understanding and progress is made easier by examples given and the use of audio, articles, and self-help suggestions. I enjoy this app.",0
"('2',)",Review Text 694: Many exercises to choose from. Most effective meditation app for me.I recommend  this wonderful app for everyone regardless of age and preferences,2
"('5',)",Review Text 341: I love that I can change and create my own categories.,5
"('0',)","Review Text 1999: This app is not only professional and well made, but also portrays the extreme importance of mental health and support.",0
"('2',)","Review Text 2699: I really like the content and the style of the meditations. It's my first experience with meditation and this app really works for me. Only complaint is that it's a bit buggy, I normally can't start a meditation without restarting the app again, but it's not a big problem for me.",2
"('0',)",Review Text 1451: Please make it so that we aren't constantly receiving notifications for a post just because we left a comment. I don't care what someone else says if they're not speaking to me.   Edit: 9/6/2017 I deleted my account after two days because the thirst is too much. Having that I am engaged in my profile doesn't stop these creeps. This app has way too many gross people.,0
"('2',)",Review Text 839: Great way to start your day.   I would recommend this app. To anyone who is ready to receive this wonderful and easy way to meditate.,2
"('7',)",Review Text 4958: It's like these daily prayers that come from this app speaks to me directly about whatever trials I may be facing on a daily basis I just really feel connected to these daily prayers praise God for his ability to reach of children and talk to them in many different ways. I think this is one of them.,7
"('5',)",Review Text 1452: Love the convenience of being able to create a time for devotions at any given moment.,5
"('8',)",Review Text 279: Glad to have found an app to help me with an important and much needed goal  of incorporating meditation in my daily habits.,8
"('1',)","Review Text 154: Shockingly it is a great app. I dont usually review apps that are free but  literally I have been using it nearly every day for the past four weeks. It  has NOT asked for my money in any way NOR have I seen any ads. For those  wondering what this app does, it is an artificial intelligent program that  you can talk to about your problems. The responses are pretty accurate  based on what you tell it. It will ask how was your day and if you are  having a bad day your answer would be filled with negative words. It  realizes this and prompts you to talk it out. And provides methods to help  you calm down, relax, or fall asleep. If you are having a great day it  realizes this too, it celebrates with you, and saves it one a list of  things that make you happy. For an AI penguin therapist it is really nice  to talk to Wysa. And it does feel like it cares about what you say. If you  say that you have been having negative feelings for extended periods of  time it will tell you to seek a real therapist for help.",1
"('10',)","Review Text 982: I tried apps like lybrate, ask a doctor,  1mg , portea etc. But no one can be compared to Superdoc app. Your service is fast and helpful. Great job guys 👍",10
"('2',)",Review Text 3156: I have tried lots of meditation apps but I feel this one is the best due to the variety it offers.,2
"('3',)",Review Text 3567: finally 7cups for Android is here. i have been waiting for this. its a very good and easy to use app. it would be better if u could add an option to edit profile in the app. thanks a lot.There is like one big issue though when i get a call or something the app reloads the conversation and a lot of time it fails. so do something so that even when we switch between apps it does not reload. keep up the good work the 7cups community. wish u all the best.,3
"('5',)","Review Text 4025: This is so cool. I love being able to talk with and help my members/guests on the go, whenever and wherever regardless of being near a computer!",5
"('0',)","Review Text 5: I think this is one of the best anti-anxiety apps ever created. The content is pure quality and by that I mean it's full of amazing insights, helpful guidances and advices that you can use right here, right now. Listening to any of these podcasts almost feels like sitting in a personal therapy session with a coach. I recommend it 100%",0
"('0',)","Review Text 4555: I can't begin to tell you how much this app has moved me. I didn't even know it existed but I stumbled across it through my Bible App when I was searching for a new devotional plan. One click, led to another click and here I am!! God knew exactly where to lead me and I haven't missed a day of not being in this app!! Thank you for all who have put so much time and dedication into this.",0
"('9',)",Review Text 997: Excellent app for tracking mood and thoughts. I also love the meditations and relaxation exercises!,9
"('0',)","Review Text 5: Great app! I love how it helps you reflect on past moods so you can perhaps  see what might be influencing them! Two problems (else I would gladly give  5 stars): 1: I don't receive notifications, even though I have them enabled  in settings 2: not enough emotions. Perhaps they should change daily? That  way the number stays the same, but you get a lot more opportunity to  reflect on your different emotions. Many thanks to the developers!",0
"('3',)","Review Text 1324: This is such a good app and has helped so much, thank you",3
"('8',)",Review Text 270: I think this can help alot of ppl and u should try it if u need input or to  talk or vent about anything anytime.,8
"('0',)","Review Text 26: This is a great app, really appreciate the survey'. I am having difficulty with tracking my sleep, as I don't have a regular work schedule and sleep when I can. Maybe I am just having difficulty with manual sleep tracking? Also when I look at my past depression/anxiety scores it would be more helpful if they were listed in chronological order. The time I took surveys also is not in sync with my device clock. But I still rate 5* for overall tracking my mood. Suggestion: section for typed description of negative/positive events which can be attached to your results please.",0
"('0',)",Review Text 1100: It's nice to have a private customized hub for venting and reflection. This does it all,0
"('0',)",Review Text 3082: I hope you guys create apps that can read blood pressuse,0
"('6',)",Review Text 2400: Very accurate measurements. I have verified them with a stopwatch and counting the heartbeats.,6
"('10',)","Review Text 241: Many sounds to choose from, all terrific, and most important: it allows ads to be removed (for a very small price-upgrade to premium)! Great all around . . .",10
"('4',)",Review Text 303: It really helps with tracking my mood and symptoms 10/10 recommend,4
"('5',)",Review Text 5322: This name is even better. Love this startup and app. Kudos to the founders.,5
"('2',)",Review Text 745: Use this everyday. Best meditation app out there. Keep up the great work SBT,2
"('3',)",Review Text 948: Worth having it. Must download it. Genuine reply with in time frame and free. Good part is doctors are for help not to fetch customers........ Great work guys......,3
"('0',)",Review Text 607: This is one of the best self improvement apps I have ever used. It's well organized and helpful even without the premium membership. I love it!,0
"('0',)","Review Text 1058: This app isn't a replacement for therapy of course, but it's a fantastic supplement. Many of the tools and advice Wysa offers are things I've discussed with my therapist before. Having a ""pocket penguin"" to remind me of these techniques and teach me new ones when things get rough is really nice.",0
"('4',)",Review Text 3012: It have helped me to gain my confidence & self esteem back.,4
"('0',)",Review Text 483: If would give this six stars if I could! My therapist is really helpful and sensitive. I couldn't pay per week as I assumed -- which was disappointing -- but I get how they need money upfront to pay the therapists and as I've gotten to know my therapist more and more its worth the money. Go Talkspace!,0
"('8',)","Review Text 1300: The mood tracker is exactly what I needed, keeping a log of it for my doctor without have to have a whole separate mood journal.",8
"('2',)","Review Text 2869: Love love love this app so much. I never tried meditating but I found this app when I was really stressed and it has helped me so much. Amazing advice mixed in with the meditations. The ""on the go"" option is so convenient, especially with how busy I am, I am able to choose how much time I have and what I need. Has me meditating everyday!",2
"('1',)",Review Text 884: It's very calming. I like that I can keep a journal of my feelings. There are reminders in my notifications which help. I have a lot of extreme anxiety and complicated grief after the loss of our youngest child Thomas almost 3 years ago. I have limited memory so the notifications help me a lot and I feel obligated to participate that way. I am diagnosed with PTSD and Social Anxiety,1
"('0',)","Review Text 146: Once you get used to the interface the points system really encourages you to read through the affirmative articles, use the CBT diary and listen to the audio recordings. Much better listening to someone's voice from my portable phone than using my obnoxious laptop.",0
"('4',)",Review Text 2497: I came across this in a time when I was at my worst. This helped me a lot. Empathy can do wonders.,4
